----------------------------------------------------------------------
------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.329 |        2302.21 |    128 |
|    1 |        1.494 |        3240.58 |   1344 |
|    2 |        0.477 |        2534.16 |    192 |
|    3 |        0.217 |        2479.21 |     64 |
|    4 |        0.383 |        1433.82 |    320 |
|    5 |        0.384 |        3150.01 |    384 |
|    6 |        0.254 |        2122.23 |    192 |
|    7 |        0.355 |        1547.61 |    192 |
|    8 |        0.151 |          62.56 |     64 |
|    9 |        0.456 |        2719.74 |    192 |
|   10 |        0.219 |        2475.33 |     64 |
|   11 |        0.072 |        1901.72 |     64 |
|   11 |        0.072 |        1901.72 |     64 |
|   12 |        0.267 |        2264.52 |    128 |
|   13 |        0.284 |        1894.09 |    128 |
|   14 |        0.226 |        2407.09 |    320 |
|   15 |        0.352 |        3432.12 |    256 |
|   16 |        0.270 |        1994.61 |    320 |
|   17 |        0.993 |        1087.80 |    320 |
|   18 |        0.209 |        2583.22 |    128 |
|   19 |        0.280 |         962.00 |    128 |
|   20 |        0.426 |        1418.59 |    192 |
|   21 |        0.355 |        1512.02 |    128 |
|   22 |        0.214 |        2520.56 |   1344 |
|   23 |        0.421 |        2871.82 |   2752 |
|   24 |        0.286 |        1878.02 |   1792 |
|   25 |        1.210 |         890.34 |    384 |
|   26 |        0.216 |        2492.54 |    128 |
|   27 |        0.371 |         724.21 |    128 |
|   28 |        0.517 |         519.76 |    192 |
|   29 |        0.259 |        2081.55 |    128 |
|   30 |        0.579 |        2087.99 |    576 |
|   31 |        0.387 |        1387.02 |    320 |
|   32 |        0.892 |        1206.06 |    384 |
|   33 |        0.280 |        1921.46 |    128 |
|   34 |        0.435 |         617.08 |    192 |
|   35 |        0.242 |          60.86 |    128 |
|   36 |        0.085 |         197.78 |     64 |
|   37 |        0.005 |           0.04 |     64 |
-------------------------------------------------
Estimated total latency: 42.945 ms      Trials: 256     Used time : 491 s       Next ID: 15
----------------------------------------------------------------------
