------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.462 |         572.08 |    256 |
|    1 |        0.417 |         226.24 |    192 |
|    2 |        0.005 |           0.10 |     64 |
|    3 |        0.005 |           0.12 |     64 |
|    4 |        0.106 |        1453.35 |     64 |
|    5 |        0.228 |         207.40 |    128 |
|    6 |        0.004 |           0.03 |     64 |
|    7 |        0.004 |           0.03 |     64 |
|    8 |        0.127 |         629.53 |     64 |
|    9 |        1.165 |         413.14 |    512 |
|   10 |        0.552 |         128.17 |    256 |
|   11 |        0.008 |           0.10 |     64 |
|   12 |        0.005 |           0.16 |     64 |
|   13 |        0.103 |        1652.34 |     64 |
|   14 |        0.471 |         563.97 |    640 |
|   15 |        0.458 |         231.72 |    448 |
|   16 |        0.010 |           0.17 |     64 |
|   17 |        0.005 |           0.38 |     64 |
|   18 |        0.141 |        1821.96 |    192 |
|   19 |        0.277 |         249.20 |    128 |
|   20 |        0.138 |         923.29 |     64 |
|   21 |        0.291 |         893.66 |    384 |
|   22 |        0.260 |         530.45 |    256 |
|   23 |        0.035 |           0.20 |     64 |
|   24 |        0.006 |           1.16 |     64 |
|   25 |        0.122 |        2094.47 |    128 |
|   26 |        0.075 |        1333.25 |     64 |                                                                                                                   [73/19
|   27 |        0.092 |         143.88 |    128 |
|   28 |        0.129 |         910.25 |     64 |
|   29 |        0.187 |        1156.53 |    320 |
|   30 |        0.120 |         203.52 |    192 |
|   31 |        0.043 |           0.54 |    128 |
|   32 |        0.007 |           3.50 |     64 |
|   33 |        0.150 |        1433.83 |    192 |
|   34 |        0.130 |         488.23 |    128 |
|   35 |        0.205 |        1425.80 |    128 |
|   36 |        0.259 |        1551.10 |    448 |
|   37 |        0.162 |         533.81 |    256 |
|   38 |        0.059 |           0.74 |    192 |
|   39 |        0.009 |           4.85 |     64 |
|   40 |        0.188 |        2117.35 |    320 |
|   41 |        0.065 |         958.74 |     64 |
|   42 |        0.089 |         243.48 |     64 |
|   43 |        0.148 |        1163.43 |    128 |
|   44 |        0.180 |        1665.36 |    384 |
|   45 |        0.086 |         437.01 |    192 |
|   46 |        0.097 |           1.34 |    320 |
|   47 |        0.011 |          12.28 |     64 |
|   48 |        0.227 |        1316.55 |    384 |
|   49 |        0.093 |         154.65 |     64 |
|   50 |        0.295 |        1716.19 |    128 |
|   51 |        0.053 |         855.32 |    128 |
|   52 |        0.005 |          12.93 |     64 |
|   53 |        0.008 |          35.56 |    128 |
|   54 |        0.016 |         230.72 |    128 |
|   55 |        0.006 |          44.05 |     64 |
|   56 |        0.010 |         120.10 |    128 |
|   57 |        0.024 |         607.81 |    128 |
|   58 |        0.013 |          82.36 |     64 |
|   59 |        0.017 |         274.47 |    192 |                                                                                                                   [40/19
|   60 |        0.034 |        1706.77 |    192 |
|   61 |        0.034 |         122.48 |    128 |
|   62 |        0.038 |         490.08 |    320 |
|   63 |        0.091 |        2588.24 |    256 |
|   64 |        0.019 |          83.09 |     64 |
|   65 |        0.007 |          57.87 |     64 |
|   66 |        0.005 |          17.89 |     64 |
|   67 |        0.005 |           3.53 |     64 |
|   68 |        0.012 |           6.28 |     64 |
|   69 |        0.015 |          59.84 |     64 |
|   70 |        0.161 |        1461.48 |    448 |
|   71 |        0.072 |        1034.61 |     64 |
|   72 |        0.062 |         945.81 |    192 |
|   73 |        0.034 |         556.67 |     64 |
|   74 |        0.032 |         453.67 |    128 |
|   75 |        0.024 |         194.81 |     64 |
|   76 |        0.021 |         173.46 |    128 |
|   77 |        0.026 |          44.72 |     64 |
|   78 |        0.019 |          47.68 |     64 |
|   79 |        0.017 |          55.18 |    128 |
|   80 |        0.017 |          17.64 |     64 |
|   81 |        0.532 |        3155.78 |    320 |
|   82 |        0.205 |        2049.16 |    128 |
|   83 |        0.076 |        1377.38 |     64 |
|   84 |        0.041 |         640.71 |     64 |
|   85 |        0.030 |         216.24 |     64 |
|   86 |        0.004 |           0.00 |     64 |
|   87 |        0.003 |           0.00 |     64 |
|   88 |        0.005 |           0.04 |     64 |
-------------------------------------------------
Estimated total latency: 22.233 ms      Trials: 8586    Used time : 13183 s     Next ID: 44
