----------------------------------------------------------------------
------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.096 |         487.82 |    128 |
|    1 |        0.095 |         181.88 |    128 |
|    2 |        0.086 |         309.97 |    128 |
|    3 |        0.132 |         649.52 |    192 |
|    4 |        0.134 |          95.99 |    192 |
|    5 |        0.087 |         342.02 |    128 |
|    6 |        0.088 |         531.57 |    256 |
|    7 |        0.114 |         170.06 |    192 |
|    8 |        0.089 |         500.43 |    128 |
|    9 |        0.113 |          42.77 |    128 |
|   10 |        0.091 |         163.26 |    128 |
|   11 |        0.092 |         224.18 |    320 |
|   12 |        0.092 |          70.00 |    256 |
|   13 |        0.083 |         237.44 |    256 |
|   14 |        0.084 |          19.22 |    128 |
|   15 |        0.090 |         109.43 |    128 |
|   16 |        0.084 |         240.48 |    384 |
|   17 |        0.085 |          38.15 |    448 |
|   18 |        0.083 |         236.59 |    320 |
|   19 |        0.089 |         333.64 |    128 |
|   20 |        0.085 |         527.99 |    320 |
|   21 |        0.087 |          55.31 |    256 |
|   22 |        0.083 |         534.00 |    320 |
|   23 |        0.092 |          13.17 |    128 |
|   24 |        0.089 |         207.27 |    128 |
|   25 |        0.085 |         364.53 |    320 |
|   26 |        0.084 |          23.89 |    320 |
|   27 |        0.085 |         362.43 |    192 |
|   28 |        0.152 |         405.26 |    192 |
|   29 |        0.100 |         824.84 |    128 |
|   30 |        0.146 |         223.91 |    192 |
|   31 |        0.090 |         110.83 |    128 |
|   32 |        0.083 |          11.06 |    704 |
|   33 |        0.084 |         157.08 |    512 |
|   34 |        0.092 |         146.72 |    128 |
|   35 |        0.085 |          43.41 |    704 |
|   36 |        0.086 |         620.35 |    512 |
|   37 |        0.083 |         118.52 |    128 |
|   38 |        0.082 |          30.01 |    128 |
|   39 |        0.084 |           2.74 |    576 |
|   40 |        0.084 |          39.67 |    384 |
|   41 |        0.090 |           6.84 |    128 |
|   42 |        0.086 |           0.67 |    128 |
|   43 |        0.083 |           9.98 |    512 |
|   44 |        0.083 |           0.69 |    640 |
|   45 |        0.083 |           1.86 |    128 |
|   46 |        0.089 |           0.23 |    128 |
|   47 |        0.083 |           3.61 |    512 |
|   48 |        0.083 |           0.25 |    576 |
|   49 |        0.083 |           0.67 |    128 |
|   50 |        0.169 |        1329.46 |    192 |
|   51 |        0.087 |         644.12 |    128 |
|   52 |        0.084 |         167.73 |    128 |
|   53 |        0.090 |          39.03 |    128 |
|   54 |        0.091 |          13.91 |    128 |
|   55 |        0.093 |           0.00 |    128 |
|   56 |        0.093 |           0.00 |    128 |
|   57 |        0.084 |           0.00 |    128 |
-------------------------------------------------
Estimated total latency: 11.795 ms	Trials: 14195	Used time : 19696 s	Next ID: 27
