----------------------------------------------------------------------
------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.190 |         245.27 |    192 |
|    1 |        0.192 |          89.81 |    320 |
|    2 |        0.179 |         149.12 |    192 |
|    3 |        0.594 |         144.81 |    640 |
|    4 |        0.408 |          31.61 |    448 |
|    5 |        0.125 |         236.84 |    192 |
|    6 |        0.185 |         254.27 |    384 |
|    7 |        0.193 |         100.05 |    320 |
|    8 |        0.184 |         242.63 |    192 |
|    9 |        0.132 |          36.58 |    128 |
|   10 |        0.132 |         112.42 |    128 |
|   11 |        0.123 |         167.44 |    384 |
|   12 |        0.096 |          67.04 |    320 |
|   13 |        0.100 |         196.91 |    192 |
|   14 |        0.084 |          19.21 |    128 |
|   15 |        0.113 |          87.40 |    128 |
|   16 |        0.095 |         211.94 |    384 |
|   17 |        0.060 |          53.72 |    320 |
|   18 |        0.120 |         163.66 |    384 |
|   19 |        0.132 |         223.44 |    192 |
|   20 |        0.159 |         282.48 |    512 |
|   21 |        0.098 |          49.37 |    192 |
|   22 |        0.170 |         261.06 |    384 |
|   23 |        0.083 |          14.62 |    128 |
|   24 |        0.123 |         150.09 |    128 |
|   25 |        0.130 |         238.99 |    384 |
|   26 |        0.042 |          47.78 |    192 |
|   27 |        0.164 |         188.02 |    384 |
|   28 |        0.237 |         258.99 |    320 |
|   29 |        0.231 |         356.23 |    320 |
|   30 |        0.214 |         153.14 |    256 |
|   31 |        0.099 |         100.61 |    128 |
|   32 |        0.039 |          23.63 |    320 |
|   33 |        0.079 |         168.63 |    448 |
|   34 |        0.102 |         132.28 |    128 |
|   35 |        0.078 |          47.15 |    576 |
|   36 |        0.142 |         374.05 |    768 |
|   37 |        0.101 |          98.04 |    128 |
|   38 |        0.060 |          41.31 |     64 |
|   39 |        0.027 |           8.61 |    192 |
|   40 |        0.049 |          68.30 |    192 |
|   41 |        0.051 |          12.07 |     64 |
|   42 |        0.023 |           2.52 |     64 |
|   43 |        0.036 |          22.79 |    192 |
|   44 |        0.023 |           2.55 |    128 |
|   45 |        0.041 |           3.77 |     64 |
|   46 |        0.030 |           0.70 |     64 |
|   47 |        0.025 |          11.83 |    128 |
|   48 |        0.019 |           1.09 |    128 |
|   49 |        0.039 |           1.44 |     64 |
|   50 |        0.531 |         422.91 |    512 |
|   51 |        0.196 |         286.30 |    192 |
|   52 |        0.124 |         112.75 |    128 |
|   53 |        0.064 |          54.93 |     64 |
|   54 |        0.047 |          27.09 |     64 |
|   55 |        0.009 |           0.00 |     64 |
|   56 |        0.008 |           0.00 |     64 |
|   57 |        0.014 |           0.01 |     64 |
-------------------------------------------------
Estimated total latency: 11.950 ms	Trials: 13623	Used time : 31337 s	Next ID: 44
----------------------------------------------------------------------
