----------------------------------------------------------------------
------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.039 |        1190.47 |    192 |
|    1 |        0.037 |         465.78 |    192 |
|    2 |        0.031 |         872.83 |    128 |
|    3 |        0.073 |        1185.86 |    320 |
|    4 |        0.055 |         233.68 |    320 |
|    5 |        0.027 |        1097.61 |    128 |
|    6 |        0.034 |        1399.79 |    320 |
|    7 |        0.042 |         460.16 |    192 |
|    8 |        0.042 |        1066.57 |    192 |
|    9 |        0.028 |         173.17 |    192 |
|   10 |        0.023 |         632.03 |    128 |
|   11 |        0.017 |        1233.97 |    192 |
|   12 |        0.018 |         359.60 |    192 |
|   13 |        0.026 |         761.94 |    320 |
|   14 |        0.014 |         117.61 |    128 |
|   15 |        0.023 |         428.04 |    128 |
|   16 |        0.018 |        1091.10 |    320 |
|   17 |        0.013 |         257.53 |    256 |
|   18 |        0.036 |         541.42 |    448 |
|   19 |        0.048 |         619.09 |    192 |
|   20 |        0.030 |        1518.31 |    384 |
|   21 |        0.016 |         301.47 |    128 |
|   22 |        0.052 |         847.02 |    448 |
|   23 |        0.019 |          63.88 |    128 |
|   24 |        0.048 |         382.64 |    256 |
|   25 |        0.032 |         958.15 |    384 |
|   26 |        0.012 |         166.31 |    192 |                                                                                                                  [384/1902]
|   27 |        0.057 |         541.92 |    448 |
|   28 |        0.075 |         820.39 |    384 |
|   29 |        0.065 |        1270.83 |    320 |
|   30 |        0.060 |         549.80 |    320 |
|   31 |        0.020 |         490.43 |    128 |
|   32 |        0.007 |         140.79 |    320 |
|   33 |        0.019 |         707.04 |    448 |
|   34 |        0.021 |         643.71 |    128 |
|   35 |        0.011 |         332.75 |    384 |
|   36 |        0.038 |        1400.50 |    768 |
|   37 |        0.024 |         404.48 |    128 |
|   38 |        0.016 |         152.92 |    128 |
|   39 |        0.007 |          32.78 |    192 |
|   40 |        0.012 |         286.28 |    192 |
|   41 |        0.012 |          49.84 |    128 |
|   42 |        0.014 |           3.99 |     64 |
|   43 |        0.011 |          78.65 |    320 |
|   44 |        0.006 |           9.45 |    192 |
|   45 |        0.014 |          10.94 |     64 |
|   46 |        0.010 |           2.02 |     64 |
|   47 |        0.012 |          25.68 |    320 |
|   48 |        0.005 |           4.34 |    192 |
|   49 |        0.012 |           4.58 |     64 |
|   50 |        0.096 |        2344.36 |    448 |
|   51 |        0.047 |        1199.96 |    192 |
|   52 |        0.027 |         520.20 |    128 |
|   53 |        0.015 |         237.77 |     64 |
|   54 |        0.014 |          90.71 |    128 |
|   55 |        0.004 |           0.00 |    128 |
|   56 |        0.003 |           0.00 |     64 |
|   57 |        0.005 |           0.04 |     64 |
-------------------------------------------------
Estimated total latency: 2.710 ms       Trials: 13130   Used time : 15349 s     Next ID: 11
