------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.037 |        1250.69 |    256 |
|    1 |        0.039 |         440.09 |    256 |
|    2 |        0.029 |         908.04 |    192 |
|    3 |        0.063 |        1375.95 |    384 |
|    4 |        0.073 |         176.57 |    448 |
|    5 |        0.025 |        1187.35 |    192 |
|    6 |        0.027 |        1716.46 |    320 |
|    7 |        0.044 |         442.37 |    320 |
|    8 |        0.034 |        1308.12 |    192 |
|    9 |        0.033 |         145.11 |    192 |
|   10 |        0.012 |        1219.25 |    128 |
|   11 |        0.020 |        1052.38 |    320 |
|   12 |        0.018 |         348.78 |    192 |
|   13 |        0.015 |        1292.91 |    192 |
|   14 |        0.013 |         127.55 |    128 |
|   15 |        0.016 |         605.97 |    128 |
|   16 |        0.015 |        1299.00 |    320 |
|   17 |        0.010 |         328.77 |    256 |
|   18 |        0.015 |        1347.51 |    320 |
|   19 |        0.033 |         885.45 |    192 |
|   20 |        0.024 |        1911.82 |    384 |
|   21 |        0.014 |         352.06 |    192 |
|   22 |        0.032 |        1399.51 |    384 |
|   23 |        0.011 |         107.52 |    128 |                                                                                                                   [91/1841]
|   24 |        0.027 |         675.38 |    192 |
|   25 |        0.018 |        1693.60 |    320 |
|   26 |        0.008 |         244.30 |    192 |
|   27 |        0.033 |         933.03 |    384 |
|   28 |        0.038 |        1616.33 |    320 |
|   29 |        0.039 |        2128.95 |    320 |
|   30 |        0.038 |         865.77 |    192 |
|   31 |        0.012 |         802.64 |     64 |
|   32 |        0.006 |         157.09 |    256 |
|   33 |        0.013 |        1022.09 |    384 |
|   34 |        0.014 |         987.70 |    128 |
|   35 |        0.009 |         422.30 |    384 |
|   36 |        0.026 |        2006.27 |    896 |
|   37 |        0.011 |         861.92 |    128 |
|   38 |        0.012 |         206.72 |     64 |
|   39 |        0.005 |          46.44 |    192 |
|   40 |        0.008 |         405.88 |    192 |
|   41 |        0.008 |          80.50 |     64 |
|   42 |        0.006 |           8.96 |     64 |
|   43 |        0.006 |         148.69 |    192 |
|   44 |        0.005 |          12.29 |    192 |
|   45 |        0.006 |          24.23 |     64 |
|   46 |        0.006 |           3.40 |     64 |
|   47 |        0.006 |          50.41 |    192 |
|   48 |        0.005 |           4.47 |    192 |
|   49 |        0.006 |           8.81 |     64 |
|   50 |        0.082 |        2735.55 |    448 |
|   51 |        0.030 |        1845.41 |    192 |
|   52 |        0.018 |         789.14 |    128 |
|   53 |        0.012 |         303.05 |     64 |
|   54 |        0.008 |         162.70 |     64 |
|   55 |        0.004 |           0.00 |    128 |
|   56 |        0.004 |           0.00 |     64 |
|   57 |        0.004 |           0.05 |     64 |
-------------------------------------------------
Estimated total latency: 1.988 ms       Trials: 12682   Used time : 18787 s     Next ID: 20
