------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.683 |        2847.92 |    256 |
|    1 |        0.165 |        1299.36 |     64 |
|    2 |        0.542 |        3488.80 |    512 |
|    3 |        0.523 |        1617.41 |    192 |
|    4 |        0.597 |        1449.01 |    192 |
|    5 |        0.333 |        2530.65 |    256 |
|    6 |        0.423 |        2045.83 |    256 |
|    7 |        0.236 |        1786.96 |    128 |
|    8 |        0.542 |        3485.49 |    704 |
|    9 |        0.348 |        2418.36 |    128 |
|   10 |        1.042 |        1622.24 |    384 |
|   11 |        0.342 |        2458.48 |    320 |
|   12 |        0.579 |        1470.98 |    576 |
|   13 |        0.381 |        1105.13 |    128 |
|   14 |        0.581 |        3249.83 |   1600 |
|   15 |        0.326 |        2574.89 |    128 |
|   16 |        1.083 |        1555.32 |    384 |
|   17 |        0.511 |        1645.07 |    832 |
|   18 |        0.321 |        2637.55 |    512 |
|   19 |        0.399 |        1051.84 |    128 |
|   20 |        0.941 |        2007.01 |    896 |
|   21 |        0.336 |        2498.77 |    128 |
|   22 |        1.519 |        1106.85 |    512 |
|   23 |        0.477 |        1761.19 |    320 |
|   24 |        0.454 |        1856.96 |    320 |
|   25 |        0.440 |         953.50 |    192 |
|   26 |        0.599 |        1402.83 |    192 |
|   27 |        0.589 |        2855.76 |    192 |
|   28 |        1.746 |        4326.64 |   2880 |
|   29 |        0.413 |        1712.72 |    128 |
|   30 |        0.228 |         776.95 |    128 |
|   31 |        0.305 |        1547.16 |    768 |
|   32 |        0.212 |         208.77 |    128 |
|   33 |        0.291 |         406.33 |    128 |
|   34 |        0.213 |         554.07 |    576 |
|   35 |        0.227 |          48.71 |    128 |
|   36 |        0.228 |         129.44 |    128 |
|   37 |        0.146 |         201.53 |    384 |
|   38 |        0.162 |          17.09 |    128 |
|   39 |        4.043 |        3983.60 |   1280 |
|   40 |        1.356 |        2969.10 |    512 |
|   41 |        0.505 |        1993.17 |    192 |
|   42 |        0.363 |         692.79 |    128 |
|   43 |        0.228 |         275.98 |    128 |
|   44 |        0.093 |           0.00 |     64 |
|   45 |        0.093 |           0.00 |     64 |
|   46 |        0.093 |           0.00 |     64 |
-------------------------------------------------
Estimated total latency: 65.117 ms	Trials: 4480	Used time : 9228 s	Next ID: 6
----------------------------------------------------------------------
