----------------------------------------------------------------------
------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.515 |        3781.09 |    256 |
|    1 |        0.245 |          60.15 |    128 |
|    2 |        0.094 |        2273.94 |     64 |
|    3 |        0.480 |        3942.97 |    640 |
|    4 |        0.397 |        2129.21 |    192 |
|    5 |        0.515 |        1680.48 |    256 |
|    6 |        0.275 |        3064.13 |    256 |
|    7 |        0.398 |        2175.89 |    448 |
|    8 |        0.259 |        1627.78 |    128 |
|    9 |        0.490 |        3856.21 |    832 |
|   10 |        0.345 |        2444.22 |    192 |
|   11 |        0.771 |        2192.59 |    384 |
|   12 |        0.297 |        2832.20 |    384 |
|   13 |        0.472 |        1804.25 |    640 |
|   14 |        0.290 |        1448.91 |    128 |
|   15 |        0.612 |        3084.92 |   2752 |
|   16 |        0.546 |        1538.40 |    256 |
|   17 |        0.851 |        1978.41 |    384 |
|   18 |        0.344 |        2442.12 |    768 |
|   19 |        0.304 |        2781.42 |    704 |
|   20 |        0.367 |        1144.59 |    192 |
|   21 |        0.730 |        2587.98 |    960 |
|   22 |        0.285 |        2949.74 |    128 |
|   23 |        0.966 |        1739.42 |    448 |
|   24 |        0.517 |        1624.42 |    448 |
|   25 |        0.370 |        2277.44 |    320 |
|   26 |        0.319 |        1315.04 |    192 |
|   27 |        0.528 |        1589.20 |    256 |
|   28 |        0.730 |        2304.20 |    384 |
|   29 |        1.722 |        4387.93 |   4544 |
|   30 |        0.338 |        2093.17 |    192 |
|   31 |        0.213 |         830.95 |    128 |
|   32 |        0.245 |        1930.27 |    832 |
|   33 |        0.195 |         226.50 |    128 |
|   34 |        0.295 |         400.10 |    128 |
|   35 |        0.124 |         948.68 |    448 |
|   36 |        0.132 |          84.01 |    128 |
|   37 |        0.276 |         106.83 |    128 |
|   38 |        0.096 |         307.84 |    384 |
|   39 |        0.029 |          95.62 |    128 |
|   40 |        5.085 |        3167.34 |   1536 |
|   41 |        1.336 |        3013.02 |    576 |
|   42 |        0.400 |        2515.28 |    192 |
|   43 |        0.223 |        1126.95 |    128 |
|   44 |        0.234 |         269.22 |    128 |
|   45 |        0.004 |           0.00 |     64 |
|   46 |        0.003 |           0.00 |     64 |
|   47 |        0.004 |           0.05 |     64 |
-------------------------------------------------
Estimated total latency: 59.470 ms      Trials: 2816    Used time : 5026 s      Next ID: 9
----------------------------------------------------------------------
